<NUMBER OF ZONES> 74
<TOTAL OD FLOW> 0.0
<END OF METADATA>


Origin  1  
1 :      0.0;    2 :      88.411859;    
73 :      0.000000;    74 :      0.000000;    

Origin  19  
19 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  20  
20 :      0.0;    1 :      41.289777;    2 :      23.238231;    3 :      45.909694;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      24.041065;    11 :      0.000000;    12 :      0.000000;    
13 :      21.107713;    14 :      0.000000;    15 :      0.000000;    
16 :      33.545697;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    21 :      35.802567;    22 :      22.707540;    
23 :      30.684237;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      20.099863;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      88.884174;    36 :      58.594515;    37 :      19.627686;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      26.544932;    43 :      59.740096;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      6.526371;    49 :      1.003201;    
50 :      7.891147;    51 :      0.000000;    52 :      6.114911;    
53 :      6.078827;    54 :      3.290085;    55 :      0.000000;    
56 :      0.000000;    57 :      22.086386;    58 :      29.721261;    
59 :      117.988597;    60 :      0.000000;    61 :      12.157639;    
62 :      0.522814;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      9.693045;    
68 :      0.000000;    69 :      67.637227;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  21  
21 :      0.0;    1 :      14.617646;    2 :      40.802200;    
3 :      27.028237;    4 :      0.000000;    5 :      0.000000;    
6 :      44.888274;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      43.916036;    11 :      0.000000;    
12 :      0.000000;    13 :      50.452739;    14 :      0.000000;    
15 :      0.000000;    16 :      404.685777;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      13.286012;    
22 :      60.283328;    23 :      186.281253;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      45.796215;    30 :      601.017146;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      42.618155;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      103.975826;    
43 :      3.394948;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      8.152801;    
49 :      1.030305;    50 :      10.432507;    51 :      0.000000;    
52 :      7.452372;    53 :      7.487470;    54 :      3.170686;    
55 :      0.000000;    56 :      0.000000;    57 :      8.069988;    
58 :      8.739617;    59 :      35.967490;    60 :      0.000000;    
61 :      9.508739;    62 :      0.548806;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      8.316404;    68 :      0.000000;    69 :      46.541854;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  22  
22 :      0.0;    1 :      20.064183;    
2 :      20.756323;    3 :      59.022843;    4 :      0.000000;    
5 :      0.000000;    6 :      341.228466;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      167.587203;    
11 :      0.000000;    12 :      0.000000;    13 :      318.676651;    
14 :      0.000000;    15 :      0.000000;    16 :      32.085424;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      12.938337;    21 :      390.065683;    23 :      13.675378;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      1518.462788;    
30 :      14.315912;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      174.062792;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      8.753473;    43 :      2.555015;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      10.318654;    49 :      1.047745;    50 :      13.034750;    
51 :      0.000000;    52 :      9.209908;    53 :      9.256846;    
54 :      2.706726;    55 :      0.000000;    56 :      0.000000;    
57 :      7.817151;    58 :      8.460057;    59 :      10.256741;    
60 :      0.000000;    61 :      5.755954;    62 :      0.597636;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      5.353933;    68 :      0.000000;    
69 :      10.505334;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  23  
23 :      0.0;    1 :      12.328683;    2 :      11.410421;    3 :      18.011578;    
4 :      0.000000;    5 :      0.000000;    6 :      25.484568;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      42.057137;    11 :      0.000000;    12 :      0.000000;    
13 :      18.601769;    14 :      0.000000;    15 :      0.000000;    
16 :      18.744493;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      13.274507;    21 :      842.161822;    
22 :      27.938740;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      30.312380;    30 :      101.943337;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      1.030062;    
50 :      9.052167;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      3.315462;    55 :      0.000000;    
56 :      0.000000;    57 :      9.943152;    58 :      8.810026;    
59 :      249.636303;    60 :      0.000000;    61 :      12.622087;    
62 :      0.518871;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      9.961662;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  24  
24 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  25  
25 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  26  
26 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  27  
27 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  28  
28 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  29  
29 :      0.0;    1 :      4.518267;    2 :      4.394399;    3 :      5.129991;    
4 :      0.000000;    5 :      0.000000;    6 :      5.578263;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      5.486167;    11 :      0.000000;    12 :      0.000000;    
13 :      5.155263;    14 :      0.000000;    15 :      0.000000;    
16 :      5.039662;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      3.864146;    21 :      5.566664;    
22 :      5.691150;    23 :      4.339807;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    30 :      4.394347;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      9.223124;    37 :      463.885446;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      61.323676;    43 :      3.281086;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      190.377950;    49 :      1.052211;    
50 :      13.776492;    51 :      0.000000;    52 :      89.438245;    
53 :      99.244161;    54 :      45.319774;    55 :      0.000000;    
56 :      0.000000;    57 :      3.269599;    58 :      3.395228;    
59 :      3.813727;    60 :      0.000000;    61 :      2.924602;    
62 :      0.496112;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      2.817230;    
68 :      0.000000;    69 :      3.989440;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  30  
30 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      295.138477;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    35 :      35.766750;    36 :      31.448312;    
37 :      34.022916;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      74.903183;    
43 :      29.314842;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      28.039308;    
49 :      0.843268;    50 :      3.493324;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.887652;    
55 :      0.000000;    56 :      0.000000;    57 :      1.309123;    
58 :      1.434143;    59 :      1.314576;    60 :      0.000000;    
61 :      1.338477;    62 :      0.373403;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      1.242096;    68 :      0.000000;    69 :      1.324371;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  31  
31 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  32  
32 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      0.000000;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      0.000000;    
31 :      0.000000;    33 :      0.000000;    34 :      0.000000;    
35 :      0.000000;    36 :      0.000000;    37 :      0.000000;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      0.000000;    43 :      0.000000;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      0.000000;    49 :      0.000000;    
50 :      0.000000;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      0.000000;    58 :      0.000000;    
59 :      0.000000;    60 :      0.000000;    61 :      0.000000;    
62 :      0.000000;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  33  
33 :      0.0;    1 :      0.000000;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      0.000000;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      0.000000;    
30 :      0.000000;    31 :      0.000000;    32 :      0.000000;    
34 :      0.000000;    35 :      0.000000;    36 :      0.000000;    
37 :      0.000000;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      0.000000;    
43 :      0.000000;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      0.000000;    
49 :      0.000000;    50 :      0.000000;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      0.000000;    
58 :      0.000000;    59 :      0.000000;    60 :      0.000000;    
61 :      0.000000;    62 :      0.000000;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

Origin  34  
34 :      0.0;    1 :      0.000000;    
2 :      0.000000;    3 :      0.000000;    4 :      0.000000;    
5 :      0.000000;    6 :      0.000000;    7 :      0.000000;    
8 :      0.000000;    9 :      0.000000;    10 :      0.000000;    
11 :      0.000000;    12 :      0.000000;    13 :      0.000000;    
14 :      0.000000;    15 :      0.000000;    16 :      0.000000;    
17 :      0.000000;    18 :      0.000000;    19 :      0.000000;    
20 :      0.000000;    21 :      0.000000;    22 :      0.000000;    
23 :      0.000000;    24 :      0.000000;    25 :      0.000000;    
26 :      0.000000;    27 :      0.000000;    28 :      0.000000;    
29 :      0.000000;    30 :      0.000000;    31 :      0.000000;    
32 :      0.000000;    33 :      0.000000;    35 :      0.000000;    
36 :      0.000000;    37 :      0.000000;    38 :      0.000000;    
39 :      0.000000;    40 :      0.000000;    41 :      0.000000;    
42 :      0.000000;    43 :      0.000000;    44 :      0.000000;    
45 :      0.000000;    46 :      0.000000;    47 :      0.000000;    
48 :      0.000000;    49 :      0.000000;    50 :      0.000000;    
51 :      0.000000;    52 :      0.000000;    53 :      0.000000;    
54 :      0.000000;    55 :      0.000000;    56 :      0.000000;    
57 :      0.000000;    58 :      0.000000;    59 :      0.000000;    
60 :      0.000000;    61 :      0.000000;    62 :      0.000000;    
63 :      0.000000;    64 :      0.000000;    65 :      0.000000;    
66 :      0.000000;    67 :      0.000000;    68 :      0.000000;    
69 :      0.000000;    70 :      0.000000;    71 :      0.000000;    
72 :      0.000000;    73 :      0.000000;    74 :      0.000000;    


Origin  35  
35 :      0.0;    1 :      0.000000;    2 :      0.000000;    3 :      0.000000;    
4 :      0.000000;    5 :      0.000000;    6 :      0.000000;    
7 :      0.000000;    8 :      0.000000;    9 :      0.000000;    
10 :      0.000000;    11 :      0.000000;    12 :      0.000000;    
13 :      0.000000;    14 :      0.000000;    15 :      0.000000;    
16 :      0.000000;    17 :      0.000000;    18 :      0.000000;    
19 :      0.000000;    20 :      212.430396;    21 :      0.000000;    
22 :      0.000000;    23 :      0.000000;    24 :      0.000000;    
25 :      0.000000;    26 :      0.000000;    27 :      0.000000;    
28 :      0.000000;    29 :      0.000000;    30 :      642.594816;    
31 :      0.000000;    32 :      0.000000;    33 :      0.000000;    
34 :      0.000000;    36 :      258.889153;    37 :      21.139994;    
38 :      0.000000;    39 :      0.000000;    40 :      0.000000;    
41 :      0.000000;    42 :      19.272955;    43 :      199.544939;    
44 :      0.000000;    45 :      0.000000;    46 :      0.000000;    
47 :      0.000000;    48 :      116.594901;    49 :      0.866680;    
50 :      3.857238;    51 :      0.000000;    52 :      0.000000;    
53 :      0.000000;    54 :      0.000000;    55 :      0.000000;    
56 :      0.000000;    57 :      8.331706;    58 :      12.739888;    
59 :      47.139805;    60 :      0.000000;    61 :      10.060048;    
62 :      0.544422;    63 :      0.000000;    64 :      0.000000;    
65 :      0.000000;    66 :      0.000000;    67 :      0.000000;    
68 :      0.000000;    69 :      0.000000;    70 :      0.000000;    
71 :      0.000000;    72 :      0.000000;    73 :      0.000000;    
74 :      0.000000;    

Origin  36  
36 :      0.0;    1 :      8.004066;    2 :      0.000000;    
3 :      0.000000;    4 :      0.000000;    5 :      0.000000;    
6 :      0.000000;    7 :      0.000000;    8 :      0.000000;    
9 :      0.000000;    10 :      0.000000;    11 :      0.000000;    
12 :      0.000000;    13 :      0.000000;    14 :      0.000000;    
15 :      0.000000;    16 :      0.000000;    17 :      0.000000;    
18 :      0.000000;    19 :      0.000000;    20 :      92.086170;    
21 :      0.000000;    22 :      0.000000;    23 :      0.000000;    
24 :      0.000000;    25 :      0.000000;    26 :      0.000000;    
27 :      0.000000;    28 :      0.000000;    29 :      18.102294;    
30 :      135.833178;    31 :      0.000000;    32 :      0.000000;    
33 :      0.000000;    34 :      0.000000;    35 :      167.110120;    
37 :      21.525125;    38 :      0.000000;    39 :      0.000000;    
40 :      0.000000;    41 :      0.000000;    42 :      22.042674;    
43 :      381.251459;    44 :      0.000000;    45 :      0.000000;    
46 :      0.000000;    47 :      0.000000;    48 :      298.898034;    
49 :      0.870883;    50 :      3.962468;    51 :      0.000000;    
52 :      0.000000;    53 :      0.000000;    54 :      0.000000;    
55 :      0.000000;    56 :      0.000000;    57 :      1.348327;    
58 :      1.444186;    59 :      1.583705;    60 :      0.000000;    
61 :      1.384856;    62 :      0.340189;    63 :      0.000000;    
64 :      0.000000;    65 :      0.000000;    66 :      0.000000;    
67 :      0.000000;    68 :      0.000000;    69 :      0.000000;    
70 :      0.000000;    71 :      0.000000;    72 :      0.000000;    
73 :      0.000000;    74 :      0.000000;    

